,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
4352,VERDURAS ENTERA,,,,,,,,,,,,,
4353,,,,,,,SAZONADOR TUCO SINARITA,,,,,,,
4354,,,,ROSQUITAS DE MANTECA,,,,,,,,,,
4355,,,,MOTE CON CASCARA COCINADO,,,,,,,,,,
4356,,,,TOMATE CEBOLLA PARA ALIME,,,,,,,,,,
4357,,,,,,,ROSQUITAS DE SAL,,,,,,,
4358,VERDURAS,,,,,,,,,,,,,
4359,,,,,,,,,,,PATA DE ALPACA,,,
4360,,,,PASTEL LENGUA,,,,,,,,,,
4361,BROCOLI PRECOCIDO,,,,,,,,,,,,,
4362,,,ROSQUITAS DE YUCA,,,,,,,,,,,
4363,,,,LENTEJAS BEBE ENVASADO,,,,,,,,,,
4364,VERDURA PARA PARA SEGUNDO,,,,,,,,,,,,,
4365,,,,,,,BOCADITOS SALADO,,,,,,,
4366,,,,Filete de Atún,,,,,,,,,,
4367,,,,TOMATE ORGANICO,,,,,,,,,,
4368,QUEQUE DE CHOCOLATE,,,,,,,,,,,,,
4369,,FRUTA SECA CAJU,,,,,,,,,,,,
4370,,,,,,,SAZONADOR EN SOBRE,,,,,,,
4371,VERDURA PICADO PARA SALTA,,,,,,,,,,,,,
4372,,,,,,,SAZONADOR TUCO SIBARITA,,,,,,,
4373,,,,,,,HONGOS Y LAUREL ENVASADOS,,,,,,,
4374,,,,CUATES,,,,,,,,,,
4375,,,,CAFE TOSTADA A GRANEL,,,,,,,,,,
4376,VERDURAS VARIADAS,,,,,,,,,,,,,
4377,COL CHINA,,,,,,,,,,,,,
4378,,NARANJA PARA LORO,,,,,,,,,,,,
4379,,,HABAS SECA,,,,,,,,,,,
4380,,,,,,,,,,,,,FIDEO SPAGHETTI ENVASADO,
4381,,,,PICANTE DE CUY,,,,,,,,,,
4382,,,HABAS SECAS PARTIDA,,,,,,,,,,,
4383,,,,,,,SAL MARINA ENVASADO,,,,,,,
4384,,,,,,,LAUREL A ENVASADO,,,,,,,
4385,COLA DE CABALLO PARA INFU,,,,,,,,,,,,,
4386,,,,CONFITES,,,,,,,,,,
4387,,,HABA SECA REMOJADA,,,,,,,,,,,
4388,,,,,,,TUCO POR SAZONADOR ENVASA,,,,,,,
4389,,,,LENTEJA CON TOCINO EN CON,,,,,,,,,,
4390,,PLÁTANO BELLACO,,,,,,,,,,,,
4391,VERDURA ENTERA SURTIDA,,,,,,,,,,,,,
4392,,,,,,,SARDINA EN SALDA DE TOMAT,,,,,,,
4393,,,,,,,ROSCAS SALADAS,,,,,,,
4394,,,,FILETE DE PERICO,,,,,,,,,,
4395,,,,JUGO NATURAL,,,,,,,,,,
4396,ESPINACA LIMEÑA,,,,,,,,,,,,,
4397,,,,,,,,ARROCILLO PARA ALIMENTO D,,,,,,
4398,,,,FILETE DE REINETA,,,,,,,,,,
4399,,,,,,,,QUINUA REMOJADA,,,,,,
4400,,,,,,,,,,,,ROSQUITAS DE ALMIDÓN,,
4401,LECHUGA PICADA,,,,,,,,,,,,,
4402,,,,,,,,,,,HIGADO DE CORDERO,,,
4403,,,,PERA DE OMATE,,,,,,,,,,
4404,,,,SILLAO ENTERO,,,,,,,,,,
4405,,,,,,,,CANCHITA FRITA PREPARADA,,,,,,
4406,,,ROSQUILLAS DE YUCA,,,,,,,,,,,
4407,,,,MOTE PELADO COCIDO,,,,,,,,,,
4408,,,,CURCUMA ENTERA,,,,,,,,,,
4409,,,,,,,,MAZAMORRA DE QUINUA CON C,,,,,,
4410,,PLÁTANO DE FREIR,,,,,,,,,,,,
4411,,,HABAS SECA PARTIDA,,,,,,,,,,,
4412,,,,LOMO AL JUGO,,,,,,,,,,
4413,,,,,,,SAZONADOR ENVASADO EN POL,,,,,,,
4414,,,,FILETE DE CABALLA PARA GA,,,,,,,,,,
4415,,,,,,,,SEMILLAS DE CALABAZA,,,,,,
4416,,JUGO DE FRUTA ENVASADA,,,,,,,,,,,,
4417,,,PONCHE DE HABA PREPARADO,,,,,,,,,,,
4418,,,,,,,,,,,SANGRE DE CORDERO,,,
4419,,,,BATIDO PROTEICO,,,,,,,,,,
4420,,,,,,,,CHUÑO INGLÉS A GRANEL,,,,,,
4421,,,FREJOL CON SECO,,,,,,,,,,,
4422,,,,LENTEJA BOCONA SECA,,,,,,,,,,
4423,,,,MANTECA VEGETAL ENVASADA,,,,,,,,,,
4424,ESPINACA CON ALBACA  MOLI,,,,,,,,,,,,,
4425,,,,,,,ANIS AGRANEL,,,,,,,
4426,,,,,,,SAZONADOR TUCO SIBARITA M,,,,,,,
4427,,HOJA DE NARANJA PARA INFU,,,,,,,,,,,,
4428,,,,,,,,CHUÑO INGLES A GRANEL,,,,,,
4429,,,,,,,ROSCAS SALADAS A GRANEL,,,,,,,
4430,,,,,,,,MAÍZ REVENTON (POP-CORN),,,,,,
4431,,,,TOSTADAS INTEGRALES ENVAS,,,,,,,,,,
4432,,,,FILETE DE SALMON PARA GAT,,,,,,,,,,
4433,,,,SIETE SEMILLAS,,,,,,,,,,
4434,VERDURA PARA SOPA,,,,,,,,,,,,,
4435,,,,,,,,CANCHITA DULCE,,,,,,
4436,,,,,,,,,,,HIGADO DE ALPACA,,,
4437,VERDURA PICADA,,,,,,,,,,,,,
4438,,,,PASTA DE TOMATE ENVASADO,,,,,,,,,,
4439,,,,TE NEGRO DE MORA FILTRANT,,,,,,,,,,
4440,,,,PASTEL DE ACELGA,,,,,,,,,,
4441,,,,,,,,MAZAMORRA DE QUINUA CON L,,,,,,
4442,COLAPEZ,,,,,,,,,,,,,
4443,,,,,,,,,,,PATA DE  CORDERO,,,
4444,COL DE CORAZON,,,,,,,,,,,,,
4445,,,,TE-ANIS-MANZANILLA EN CAJ,,,,,,,,,,
4446,,,,,,,,CANCHA INFLADA CON DULCE,,,,,,
4447,,,,,,,,ARROCILLO PARA AVE,,,,,,
4448,,BODOQUES DE FRUTA,,,,,,,,,,,,
4449,,,,,,,SAL DE MARAS ENVASADA,,,,,,,
4450,LECHUGA SEDA,,,,,,,,,,,,,
4451,CHOCOLATE PARA TAZA,,,,,,,,,,,,,
4452,,,,,,,,Maíz Morado,,,,,,
4453,,,,CHUÑO NEGRO ENTERO REMOJA,,,,,,,,,,
4454,,,,CHUPETES DE HIELO,,,,,,,,,,
4455,,,,ARVEJA AMARILLA ENTERA PR,,,,,,,,,,
4456,,PLÁTANO SEDILLO,,,,,,,,,,,,
4457,,,,MOTE PROCOCIDO,,,,,,,,,,
4458,,,,,,,,CANCHITA POP CORN PREPARA,,,,,,
4459,,,,,,,SAZONADOR TUCO TALLARÍN E,,,,,,,
4460,,,,,,,,,,,,BISCOCHO CON RELLENO DE M,,
4461,,,,LINAZA ENTERA,,,,,,,,,,
4462,,,,MESCLA LÁCTEA,,,,,,,,,,
4463,,INJERTO LIMA NARANJA,,,,,,,,,,,,
4464,,,,,,,,,,,RIÑON DE ALPACA,,,
4465,,,,GRATED DE ATÚN,,,,,,,,,,
4466,,,,,,,SAZONADOR TUCO,,,,,,,
4467,,,CAMOTE AMARILLO PARA PERR,,,,,,,,,,,
4468,,,,,,,,CHUÑO INGLÉS,,,,,,
4469,,,,BEBIDA REHIDRATANTE ENVAS,,,,,,,,,,
4470,COLA DE CABALLO,,,,,,,,,,,,,
4471,,,,TOMATE ESPAÑA,,,,,,,,,,
4472,CHOCOLATE INSTANTANEO (NE,,,,,,,,,,,,,
4473,,,,SPAGHETTI INTEGRAL ENVASA,,,,,,,,,,
4474,VERDURA CHINA,,,,,,,,,,,,,
4475,,,FREJOL ASHPA,,,,,,,,,,,
4476,,LIMON AGRIO.,,,,,,,,,,,,
4477,,,,,,,HONGO Y LAUREL A GRANEL,,,,,,,
4478,,,,,,,,MAÍZ DE JORA CHANCADA O M,,,,,,
4479,,JUGO DE FRUTA LICUADA,,,,,,,,,,,,
4480,,,,PASTELES SURTIDOS,,,,,,,,,,
4481,,,HABA SECA,,,,,,,,,,,
4482,,,,,,,,CANCHA FRITA,,,,,,
4483,,,,,,,,,,,MENUDENCIA DE ALPACA,,,
4484,,,,,,,,CHUÑO REMONADO,,,,,,
4485,,,,EMOLIENTE,,,,,,,,,,
4486,,,CAMOTE HUAYRO,,,,,,,,,,,
4487,,,,,,,,CANCHA POP CORN PREPARADA,,,,,,
4488,,,,CHOCOTEJA,,,,,,,,,,
4489,,,,PIMIENTO ENTERO A GRANEL,,,,,,,,,,
4490,,LIMA NARANJA,,,,,,,,,,,,
4491,,LIMON MANDARINA ACIDO,,,,,,,,,,,,
4492,,,,CAMITE FRITO,,,,,,,,,,
4493,,,,,,,ENSALADA PRECOCIDA,,,,,,,
4494,,,,,,,,MAÍZ PLOMO PARA CANCHA,,,,,,
4495,,,,,,,,,,,,BISCOCHO,,
4496,,,,,,,,MAÍZ CHANCADO,,,,,,
4497,,,,FILETE DE CAMOTILLO,,,,,,,,,,
4498,,,,,,,,ARROCILLOS A GRANEL,,,,,,
4499,,,,VETERRAGA PICADA COCINADA,,,,,,,,,,
4500,,ESCENCIAS DE FRUTAS,,,,,,,,,,,,
4501,LECHUGA CAROLA,,,,,,,,,,,,,
4502,,,HABAS SECAS PARTIDAS,,,,,,,,,,,
4503,,,,,,,,,,,PONEDORA PARA GALLINAS,,,
4504,,,,,,,,,,,,,TUCO TALLARIN ENVASADO,
4505,,,,,,,HONGOS DE LAUREL GRANEL,,,,,,,
4506,,,,,,,,,,,CEBO DE ALPACA,,,
4507,,,HABAS PARTIDA,,,,,,,,,,,
4508,,PIÑA EN CONSERVA,,,,,,,,,,,,
4509,,,,,,,,CEREALES,,,,,,
4510,,JUGO DE FRUTA LICUADO,,,,,,,,,,,,
4511,,,,,,,ANISADO,,,,,,,
4512,,,,GRATED DE SARDINAS,,,,,,,,,,
4513,VERDURAS PICADAS PARA SOP,,,,,,,,,,,,,
4514,,,,ACHIOTE ENTERO A GRANEL,,,,,,,,,,
4515,,,HABA PREPARADA,,,,,,,,,,,
4516,,,ARRACACHA (CAMOTE BLANCO),,,,,,,,,,,
4517,Chocolates,,,,,,,,,,,,,
4518,VERDURA PARA CHIFA,,,,,,,,,,,,,
4519,,,,,,,,,,,BOFE DE CORDERO,,,
4520,COCOLICHE,,,,,,,,,,,,,
4521,VERDURAS PRECOCIDAS,,,,,,,,,,,,,
4522,,,,,,,,,,,CHALONA DE ALPACA,,,
4523,,,,TOMATE ITALIANO,,,,,,,,,,
4524,,,,JUGO DE CAÑA FERMENTADO,,,,,,,,,,
4525,,,,TOMATE REGIONAL,,,,,,,,,,
4526,,,,TOSTADAS INTEGRALES A GRA,,,,,,,,,,
4527,,,,PASTA DE TOMATE ENVASADA,,,,,,,,,,
4528,,,,,TROZOS DE CABALLA,,,,,,,,,
4529,,,,FILETE DE ATUN,,,,,,,,,,
4530,,,MENESTRA PRECOCIDA FREJOL,,,,,,,,,,,
4531,LECHUGA PARA PATO,,,,,,,,,,,,,
4532,,,,,,,,,,,ALPACA EN PIE O VIVO,,,
4533,TORTAS DE CHOCOLATES,,,,,,,,,,,,,
4534,,,FREJOL PRE COCIDO,,,,,,,,,,,
4535,,,,,,,,,,,CRIADILLA DE CORDERO,,,
4536,,,,,,,ROSQUITAS SALADAS,,,,,,,
4537,,,,,,,,,,,MENUDENCIA DE GALLINA PAR,,,
4538,,,CAMOTE HORNEADO,,,,,,,,,,,
4539,,,,TE ANIS MANZANILLA EN CAJ,,,,,,,,,,
4540,,,,CANCATE,,,,,,,,,,
4541,,,HABAS SECA PARTIDA PELADA,,,,,,,,,,,
4542,,,CAMOTE SNACK,,,,,,,,,,,
4543,COLANTAO,,,,,,,,,,,,,
4544,,,,,,,SAZONADOR TUCO SINBARITA,,,,,,,
4545,,,,FILETE DE PIERNA ENVASADA,,,,,,,,,,
4546,,,,JUGO SURTIDO,,,,,,,,,,
4547,,Plátano de la Isla,,,,,,,,,,,,
4548,VERDURA SURTIDA PICADA,,,,,,,,,,,,,
4549,,,,,,,,,,,MEDUDENCIA DE GALLINA DE,,,
4550,,,,,,,,MAÍZ CHULPE PARA CANCHA,,,,,,
4551,,,,,,,,,,,,,TALLARIN DE CASA,
4552,,,HABA BEBE PRECOCIDA,,,,,,,,,,,
4553,,,,FIDEO INTEGRAL,,,,,,,,,,
4554,,,,AZAFRÁN CON ACHIOTE MOLID,,,,,,,,,,
4555,,JUGO DE PIÑA,,,,,,,,,,,,
4556,COL CHINA (PACCHOY),,,,,,,,,,,,,
4557,,PONCHE DE NARANJA,,,,,,,,,,,,
4558,,,,,,,SAZONADOR ESPECIAL,,,,,,,
4559,,,,MOTE PREPARADO,,,,,,,,,,
4560,,,,PASTA DE TOMATE,,,,,,,,,,
4561,COL MORADA,,,,,,,,,,,,,
4562,,,,CERVEZA ARTESANAL,,,,,,,,,,
4563,,,FREJOL CAMBIO NOVENTA,,,,,,,,,,,
4564,,,,ANIS MANZANILLA TE EN CAJ,,,,,,,,,,
4565,,,,,,,,CANCHA SERRANA TOSTADA,,,,,,
4566,,,,,,,SALVIA,,,,,,,
4567,,,,MORAYA ENTERA,,,,,,,,,,
4568,,,,,,,,QUINUA POP,,,,,,
4569,,,CAMOTE  MORADO,,,,,,,,,,,
4570,,,,,,,,,,,,,TUCO TALLARIN,
4571,,,,PASTE DE ACELGA,,,,,,,,,,
4572,,,,ALITA BROASTER,,,,,,,,,,
4573,,,,,,,LAUREL,,,,,,,
4574,LECHUGA ORGÁNICA,,,,,,,,,,,,,
4575,,,,,,,,,,,CHALONA DE CORDERO,,,
4576,,,,,,,,CANCHITA POP CORN,,,,,,
4577,,,,BEBIDA REHIDRATANTE PARA,,,,,,,,,,
4578,,,,TEJAS,,,,,,,,,,
4579,,,,,,,,,,,TRIPA CORDERO,,,
4580,,,,MACHICA DE SIETE SEMILLAS,,,,,,,,,,
4581,,,,,,,,,,,,,FIDEO TALLARIN,
4582,ESPINACA BABY,,,,,,,,,,,,,
4583,,PLÁTANO PARA LORO,,,,,,,,,,,,
4584,,FRUTAS SECAS,,,,,,,,,,,,
4585,CHOCOLATE INSTANTÁNEO (NE,,,,,,,,,,,,,
4586,,,,MANTEQUILLA DE ALMENDRA E,,,,,,,,,,
4587,,PASTEL DE PIÑA,,,,,,,,,,,,
4588,,,,PASTA DE TOMATE (TUCO) EN,,,,,,,,,,
4589,,LIMON SIDRA,,,,,,,,,,,,
4590,,,,PALTA FUERTE,,,,,,,,,,
4591,,,HABA SECA ENTERA PELADA,,,,,,,,,,,
4592,,,,,,,LAUREL EN HOJA,,,,,,,
4593,,,,,,,,CHUÑO REMOJADO NEGRO,,,,,,
4594,,,,,,,,CANCHITA POP COR PREPARAD,,,,,,
4595,,,,MATE DIGESTIVO,,,,,,,,,,
4596,,,,ESTEVIA A GRANEL PARA CHA,,,,,,,,,,
4597,,,,,,,,,,,GALLINA EVISCERADA DE COR,,,
4598,,,,,,,,,,,,,TALLARINES MROJOS,
4599,,,,TOSTADA INTEGRAL ENVASADA,,,,,,,,,,
4600,,,,TARWI ENTERO PRECOCIDO,,,,,,,,,,
4601,,,FREJOLADA,,,,,,,,,,,
4602,,,,,,,SAZONADOR CONDIMENTADO,,,,,,,
4603,,,,,,,,YUYO CON CHUÑO,,,,,,
4604,,,,,,,,,,,,BISCOCHOS RELLENOS DE CHO,,
4605,,,FREJOL CARAOTA,,,,,,,,,,,
4606,,,,,,,,CANCHA ATOMICA,,,,,,
4607,,,,,,,PALABRITAS SALADAS,,,,,,,
4608,,,,CHUÑO ENTERO BLANCO,,,,,,,,,,
4609,,,,,,,CANCHITA SALADA PREPARADA,,,,,,,
4610,,,,BISTECK A LO POBRE,,,,,,,,,,
4611,,,,,,,,CHUÑO REMOJADA,,,,,,
4612,,,PONCHE DE HABAS PREPARADO,,,,,,,,,,,
4613,,,,PASTEL CHAMPA,,,,,,,,,,
4614,,,,MOLDE INTEGRAL,,,,,,,,,,
4615,,,,CHUPETE,,,,,,,,,,
4616,,,,,,,SAZONADOR CONDIMETADO A G,,,,,,,
4617,,,,ROSCAS DE MANTECA,,,,,,,,,,
4618,,,,,,,,ARROCILLO PARA PEROS,,,,,,
4619,,,,CAFE INSTANTÁNEO,,,,,,,,,,
4620,,,,,,,LAUREL A GRANELL,,,,,,,
4621,,,,,,,,,,,PATITAS DE CORDERO,,,
4622,,,,,,,,,,,,BISCOCHO AMASADO,,
4623,,LIMON REAL,,,,,,,,,,,,
4624,,,,GRATED DE JUREL,,,,,,,,,,
4625,,,,,,,TALLARÍN SALTADO,,,,,,,
4626,,,,MOTE PELADO COCINADO,,,,,,,,,,
4627,,,,,,,,,,,,,SEGUNDO DE FIDEO,
4628,,,,,TROZO DE CABALLA,,,,,,,,,
4629,,,,TE ANIS MANZANILLA FILTRA,,,,,,,,,,
4630,,,,JUGOS ENVASADO,,,,,,,,,,
4631,,,YUCA BLANCA,,,,,,,,,,,
4632,,,,,,,,,,,MENUDENVIA DE CORDERO,,,
4633,,,,,,,,CHUÑO INGLES,,,,,,
4634,,,,,,,,HOJUELA DE MAÍZ (CORN FLA,,,,,,
4635,VERDURAS PICADAS PARA ENS,,,,,,,,,,,,,
4636,,HOJAS DE NARANJA PARA INF,,,,,,,,,,,,
4637,,,,BISCOCHO MOLLETE,,,,,,,,,,
4638,,,,,,,,SOYA GRANO SECO A GRANEL,,,,,,
4639,,,,ACHIOTE CON AZAFRAN MOLID,,,,,,,,,,
4640,,,,CANCHA ENMANTECADA CON AC,,,,,,,,,,
4641,LECHUGA ORGANICO,,,,,,,,,,,,,
4642,,,,,,,SAL MARINA ENVASADA,,,,,,,
4643,CHOCOLATE INSTANTÁNEO,,,,,,,,,,,,,
4644,,,,,,,CHAUFA ENSALADA,,,,,,,
4645,,,,MOTE PRECOCOCIDO,,,,,,,,,,
4646,COL COMUN,,,,,,,,,,,,,
4647,,,,MACHICA DE SIETE SEMILLA,,,,,,,,,,
4648,,,,ACHIOTE A GRANEL,,,,,,,,,,
4649,,,BUÑUELOS DE CAMOTE,,,,,,,,,,,
4650,COL,,,,,,,,,,,,,
4651,,,CAMOTE ENVASADO,,,,,,,,,,,
4652,,,,,,,,GUISO DE CHUÑO CON YUYO,,,,,,
4653,GRAGEAS CON CHOCOLATE,,,,,,,,,,,,,
4654,,,,PASTEL LENGUADO,,,,,,,,,,
4655,,,,HOJUELA DE SIETE SEMILLAS,,,,,,,,,,
4656,,,,,,,LAUREL ENVASADO,,,,,,,
4657,,,,QUINUA ENTERA ENVASADA,,,,,,,,,,
4658,,,,,,,SAL ROSADA ENVASADA,,,,,,,
4659,,,,SALCHIMOTE,,,,,,,,,,
4660,,,,,,,SAL DE MARAS GRANULADO,,,,,,,
4661,,,,TOMATE DE ÁRBOL,,,,,,,,,,
4662,,LIMON TANGUIS,,,,,,,,,,,,
4663,,,,MARUCHITAS JUGOSAS,,,,,,,,,,
4664,,,CAMOTES FRITOS,,,,,,,,,,,
4665,,,YUCA FRITA SALADA ENVASAD,,,,,,,,,,,
4666,VERDURA ENTERA PARA SOPA,,,,,,,,,,,,,
4667,VERDURAS PICADA PARA SOPA,,,,,,,,,,,,,
4668,,,,SOYA EN GRANO ENTERO,,,,,,,,,,
4669,,,,PASTA DE TOMATE TUCO,,,,,,,,,,
4670,,MAZAMORRA DE PIÑA PREPARA,,,,,,,,,,,,
4671,,,FREJOL CASTILLA PRECOCIDO,,,,,,,,,,,
4672,,CHAMPU DE PIÑA,,,,,,,,,,,,
4673,,,,MOTE COCIDO,,,,,,,,,,
4674,,,,,,,,,,,ENGORDE PARA GALLINA,,,
4675,,,,LENTEJAS PRECOCIDA A GRAN,,,,,,,,,,
4676,,,,,,,,,,,GALLINA DE CORRAL EVISDER,,,
4677,,,,,,,SAL EN GRANO,,,,,,,
4678,LECHUGA ORGANICA,,,,,,,,,,,,,
4679,,,SOPA DE HABAS,,,,,,,,,,,
4680,,,,,,,,MAÍZ CABANITA,,,,,,
4681,,,,HOJA DE LAUREL ENTER A GR,,,,,,,,,,
4682,,,,CHUÑO ENTERO BLANCO REMOJ,,,,,,,,,,
4683,,,,,,,,CHUÑO REMOJADO BLACO,,,,,,
4684,,,,,,,,,,,,ROSQUITAS ENVASADAS,,
4685,,,,TOSTADAS INTEGRAL A GRANE,,,,,,,,,,
4686,,,,,,,,,,,,,TALLARINES ROJOS CON POLL,
4687,,,,,,,SAZONADOR EN POLVIO ENVAS,,,,,,,
4688,,,,ANCHOVETA ENTERA,,,,,,,,,,
4689,,,,MOTE SANCOCHADO,,,,,,,,,,
4690,,,,MOTE PRECOCIDA,,,,,,,,,,
4691,,,,CÚRCUMA ENTERO,,,,,,,,,,
4692,ALBAHACA CON ESPINACA MOL,,,,,,,,,,,,,
4693,LECHUGA HIDROPÓNICA,,,,,,,,,,,,,
4694,,,,QUATES,,,,,,,,,,
4695,,,,,,,,SOYA GRANO SECO,,,,,,
4696,,,,,,,,,,,,ROSQUITAS DULCES,,
4697,,,,HELADO ARTESANAL,,,,,,,,,,
4698,,,,CREMA VOLTEADA,,,,,,,,,,
4699,,,,LENTEJA BEBE,,,,,,,,,,
4700,,,,,,,,,,,CORAZÓN DE CORDERO,,,
4701,,,,,,,,ARROCILLO PARA AVE DE COR,,,,,,
4702,,,,,,,SAZONADOR TUCO SIBARITAS,,,,,,,
4703,,,,MOTE  PRECOCIDO,,,,,,,,,,
4704,,,,,,,,,,,,,FIDEO PARTIDO,
4705,,,,CAFE EN GRANO ENTERO TOST,,,,,,,,,,
4706,,,,FILTTANTE VARIADO,,,,,,,,,,
4707,,,,GRATED DECABALLA,,,,,,,,,,
4708,,,,CHUPETE DE MADURO,,,,,,,,,,
4709,Lechuga (americana),,,,,,,,,,,,,
4710,,,,,,,Sal de Mesa Yodada (Envas,,,,,,,
4711,VERDURAS PICADAS,,,,,,,,,,,,,
4712,,,,,,,,HOJUELA DE QUINUA (GRANEL,,,,,,
4713,,,,,,,,MIXTURA DE CEREALES TOSTA,,,,,,
4714,,,,PASTELES,,,,,,,,,,
4715,,,,,,,,CANCHA AZUCARADA,,,,,,
4716,BRÓCOLI,,,,,,,,,,,,,
4717,,ZUMO DE NARANJA,,,,,,,,,,,,
4718,,,HOJAS DE CAMOTE,,,,,,,,,,,
4719,,,,TARWI ENTERO PRECOCIDO A,,,,,,,,,,
4720,VERDURA COMBINADA,,,,,,,,,,,,,
4721,,,,AZAFRÁN ENTERO,,,,,,,,,,
4722,,,ROSQUITAS SALADAS DE YUCA,,,,,,,,,,,
4723,,,,BETERRAGA,,,,,,,,,,
4724,CARACOL DULCE,,,,,,,,,,,,,
4725,,,PONCHE DE HABAS,,,,,,,,,,,
4726,,,,,,,,7 CEREALES,,,,,,
4727,,,,,,,,CANCHA POPCORN,,,,,,
4728,,,,,,,,HOJUELA DE QUINUA,,,,,,
4729,,,,,,,HOJADE LAUREL A GRANEL,,,,,,,
4730,,,CALDO DE GALLINA CON YUCA,,,,,,,,,,,
4731,LECHUGA PARA TORTUGA,,,,,,,,,,,,,
4732,,,,PASTEL OREJITA,,,,,,,,,,
4733,CHOCOLATADA,,,,,,,,,,,,,
4734,CULANTRO Y ESPINACA MOLID,,,,,,,,,,,,,
4735,SALTADO DE COLIFLOR,,,,,,,,,,,,,
4736,,,,FLOR DE JAMAICA FILTRALTE,,,,,,,,,,
4737,,JUGO DE FRUTAS,,,,,,,,,,,,
4738,,,,TOSTADA INTEGRAS ENVADA,,,,,,,,,,
4739,,,,STEVIA EN HOJA PARA INFUS,,,,,,,,,,
4740,,,,,CABALLA EN TROZOW,,,,,,,,,
4741,,,,,,,,CHUÑO INGLES AGRANEL,,,,,,
4742,,,,SIETE CERELAES,,,,,,,,,,
4743,,,,BROTES DE ALFALFA PARA EN,,,,,,,,,,
4744,,,,,,,,,,,,TOSTADA ENVASADA,,
4745,VERDURA PICADA PARA CHILI,,,,,,,,,,,,,
4746,,,,AZAFRAN ENTERO,,,,,,,,,,
4747,VERDURAS ENTERA MIXTA,,,,,,,,,,,,,
4748,VERDURA ENTERAS,,,,,,,,,,,,,
4749,,,MOTE CON FREJOL PRECOCIDO,,,,,,,,,,,
4750,,,,,,,,,,,,BISCOCHO RELLENO ENVASADO,,
4751,,,,MANTECA VEGETAL A GRANEL,,,,,,,,,,
4752,,,,MOTE SANCOHADO,,,,,,,,,,
4753,LECHUGA ROMANA,,,,,,,,,,,,,
4754,,PLÁTANO ORGANICO,,,,,,,,,,,,
4755,,,,PASTEL DE DURAZNO,,,,,,,,,,
4756,,,,JUGO PREARADO,,,,,,,,,,
4757,,,HARONA DE HABA A GRANEL,,,,,,,,,,,
4758,,,,,,,,ARROCILLO PARA COMIDA DE,,,,,,
4759,,,,TEQUEÑOS CON GUACAMOLE,,,,,,,,,,
4760,,,,,,,ESPECIES SAZONADOR,,,,,,,
4761,VERDURAS COMBINADAS EN RA,,,,,,,,,,,,,
4762,,,,MOTE BLANCO,,,,,,,,,,
4763,,,,,,,,CHUÑO PARTIDO,,,,,,
4764,,,,,,,,,,,,ROSQUITAS ALMIDÓN,,
4765,,ESCENCIA DE FRUTAS,,,,,,,,,,,,
4766,,,,,,,LOMO SALTADO,,,,,,,
4767,,,,,,,SALCHIPOLOO,,,,,,,
4768,,,,,,,,HOJUELA DE CEREALES,,,,,,
4769,,ENSALA DE FRUTAS,,,,,,,,,,,,
4770,,,,,,,,,,,,ROSQUITAS,,
4771,,,,,,,ANIS ESTRELLA,,,,,,,
4772,,ESENCIA PIÑA,,,,,,,,,,,,
4773,,ASENCIA DE FRUTAS,,,,,,,,,,,,
4774,,,,FILETE DE CABALLA ENVASAD,,,,,,,,,,
4775,,,,,,,,,,,,TOSTADAS ENVASADAS,,
4776,,,,,,,SAZONADOR TUCO TALLARIN,,,,,,,
4777,,NARANJA DE MESA,,,,,,,,,,,,
4778,,,,,,,,,,,CALDO DE PATA DE ALPACA,,,
4779,,,,,,,,CANCHA DULCE,,,,,,
4780,,,,SEITE SEMILLAS,,,,,,,,,,
4781,,,CAMOTE PRECOSIDO,,,,,,,,,,,
4782,,,,,,,OREGANO MOLUDO ENVASADO,,,,,,,
4783,,,,,,,AJÍ PINCHITO DE MONO,,,,,,,
4784,,,,,,,CULANTRO DESPERDICIO,,,,,,,
4785,,,,,,,,,,,CONCENTRADO PARA PATO,,,
4786,,,,,,,,,,,PUCHUCUY,,,
4787,,,,,,,OREGANO SECO ENVADADO,,,,,,,
4788,,,,,,,,,,,AFRECHO PARA CUY,,,
4789,,,,,,,ACEITUNA,,,,,,,
4790,,,,,,,,,,,PIERNA DE CERDO,,,
4791,,,,,,,,SÉMOLA SUELTA,,,,,,
4792,,,,,,,,Sémola Envasada,,,,,,
4793,,,,,,,,,,,PAVO EN TROZOS ENVASADO,,,
4794,,,,,,,,SEMOLA ENVASADA,,,,,,
4795,ZAPALLO ZUQUINI,,,,,,,,,,,,,
4796,,,,,,,OREGANOLIDO ENVASADO,,,,,,,
4797,,,,,,,,,,,,,MONDONGO PRECICIDO,
4798,,,,,,,,,,,PURINA PARA PATO,,,
4799,,,GARBANZO PRE COCIDO,,,,,,,,,,,
4800,,,,,,,,,,,CONCENTRADO PARA PATO A G,,,
4801,ZAPALLO TAMAÑO,,,,,,,,,,,,,
4802,,,,,,,ACEITUNA MORADA,,,,,,,
4803,,,,,,,,SEMOLA SUELTA,,,,,,
4804,,,,,,,,,,,GRASA DE OVINO,,,
4805,,,,LLUCTA PARA INFUSION,,,,,,,,,,
4806,,,,NABO PARA INFUSION,,,,,,,,,,
4807,,,,,,,,,,,ALFAFA PARA CUY,,,
4808,,,,,,,,,,,ESCENCIA DE MARACUYÁ,,,
4809,,,,,,,PREPARADO DE CULANTRO MOL,,,,,,,
